id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,text
0,A1,alcoholic,cocktail,cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,"['gin', 'grand marnier', 'lemon juice', 'grenadine']","['1 3/4 shot ', '1 Shot ', '1/4 Shot', '1/8 Shot']","question Generate a cocktail with Gin Grand Marnier Lemon Juice Grenadine answer Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
1,ABC,alcoholic,shot,shot glass,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,"['amaretto', 'baileys irish cream', 'cognac']","['1/3 ', '1/3 ', '1/3 ']",question Generate a cocktail with Amaretto Baileys irish cream Cognac answer Layered in a shot glass.
2,Ace,alcoholic,cocktail,martini glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,"['gin', 'grenadine', 'heavy cream', 'milk', 'egg white']","['2 shots ', '1/2 shot ', '1/2 shot ', '1/2 shot', '1/2 Fresh']",question Generate a cocktail with Gin Grenadine Heavy cream Milk Egg White answer Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
3,ACID,alcoholic,shot,shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,"['151 proof rum', 'wild turkey']","['1 oz Bacardi ', '1 oz ']",question Generate a cocktail with 151 proof rum Wild Turkey answer Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.
4,Adam,alcoholic,ordinary drink,cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,"['dark rum', 'lemon juice', 'grenadine']","['2 oz ', '1 oz ', '1 tsp ']","question Generate a cocktail with Dark rum Lemon juice Grenadine answer In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
5,AT&T,alcoholic,ordinary drink,highball glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,"['absolut vodka', 'gin', 'tonic water']","['1 oz ', '1 oz ', '4 oz ']","question Generate a cocktail with Absolut Vodka Gin Tonic water answer Pour Vodka and Gin over ice, add Tonic and Stir"
6,A. J.,alcoholic,ordinary drink,cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,"['applejack', 'grapefruit juice']","['1 1/2 oz ', '1 oz ']","question Generate a cocktail with Applejack Grapefruit juice answer Shake ingredients with ice, strain into a cocktail glass, and serve."
7,Avalon,alcoholic,ordinary drink,highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,"['vodka', 'pisang ambon', 'apple juice', 'lemon juice', 'lemonade']","['3 parts', '1 part ', '6 parts ', '1 1/2 part ', 'to taste']","question Generate a cocktail with Vodka Pisang Ambon Apple juice Lemon juice Lemonade answer Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition."
8,Apello,non alcoholic,other / unknown,collins glass,Stirr. Grnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,"['orange juice', 'grapefruit juice', 'apple juice', 'maraschino cherry']","['4 cl ', '3 cl ', '1 cl ', '1 ']",question Generate a cocktail with Orange juice Grapefruit juice Apple juice Maraschino cherry answer Stirr. Grnish with maraschino cherry.
9,Affair,alcoholic,ordinary drink,highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,"['strawberry schnapps', 'orange juice', 'cranberry juice', 'club soda']","['2 oz ', '2 oz ', '2 oz ', 'to taste']","question Generate a cocktail with Strawberry schnapps Orange juice Cranberry juice Club soda answer Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve."
10,Abilene,alcoholic,ordinary drink,highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,"['dark rum', 'peach nectar', 'orange juice']","['1 1/2 oz ', '2 oz ', '3 oz ']",question Generate a cocktail with Dark rum Peach nectar Orange juice answer Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.
11,Almeria,alcoholic,ordinary drink,cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,"['dark rum', 'kahlua', 'egg white']","['2 oz ', '1 oz ', '1 ']","question Generate a cocktail with Dark rum Kahlua Egg white answer In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
